x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,0,6.10254e+06,363
2e-05,0,1,0,1.11022e-16,6.10254e+06,363
4e-05,1.63042e-322,1,1.4822e-322,0,6.10254e+06,363
6e-05,1.58101e-322,1,1.33398e-322,2.22045e-16,6.10254e+06,363
8e-05,3.45846e-323,1,0,0,6.10254e+06,363
0.0001,0,1,1.72923e-322,2.22045e-16,6.10254e+06,363
0.00012,0,1,0,5.55112e-16,6.10254e+06,363
0.00014,0,1,0,5.55112e-16,6.10254e+06,363
0.00016,0,1,1.58101e-322,5.55112e-16,6.10254e+06,363
0.00018,0,1,0,5.55112e-16,6.10254e+06,363
0.0002,1.97626e-323,1,0,1.22125e-15,6.10254e+06,363
0.00022,2.47033e-323,1,0,9.99201e-16,6.10254e+06,363
0.00024,0,1,1.5316e-322,1.11022e-15,6.10254e+06,363
0.00026,1.38338e-322,1,0,4.44089e-16,6.10254e+06,363
0.00028,3.95253e-323,1,1.33398e-322,8.88178e-16,6.10254e+06,363
0.0003,1.28457e-322,1,0,1.33227e-15,6.10254e+06,363
0.00032,1.43279e-322,1,0,1.55431e-15,6.10254e+06,363
0.00034,2.47033e-323,1,0,1.44329e-15,6.10255e+06,363
0.00036,1.33398e-322,1,0,1.22125e-15,6.10255e+06,363
0.00038,1.97626e-323,1,0,1.33227e-15,6.10255e+06,363
0.0004,1.67982e-322,1,0,1.33227e-15,6.10255e+06,363
0.00042,0,1,1.23516e-322,1.44329e-15,6.10255e+06,363
0.00044,0,1,0,8.88178e-16,6.10255e+06,363
0.00046,0,1,1.43279e-322,1.11022e-15,6.10255e+06,363
0.00048,0,1,1.58101e-322,8.88178e-16,6.10255e+06,363
0.0005,0,1,0,9.99201e-16,6.10255e+06,363
0.00052,1.38338e-322,1,0,8.88178e-16,6.10255e+06,363
0.00054,0,1,0,1.44329e-15,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,1.33227e-15,6.10255e+06,363
0.00058,0,1,0,9.99201e-16,6.10255e+06,363
0.0006,0,1,1.33398e-322,1.33227e-15,6.10255e+06,363
0.00062,0,1,3.70549e-322,1.22125e-15,6.10255e+06,363
0.00064,0,1,6.42285e-322,1.22125e-15,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.33227e-15,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.33227e-15,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,1.22125e-15,6.10255e+06,363
0.00072,0,1,6.66989e-322,9.99201e-16,6.10255e+06,363
0.00074,0,1,4.5454e-322,6.66134e-16,6.10255e+06,363
0.00076,0,1,6.52167e-322,1.11022e-15,6.10255e+06,363
0.00078,0,1,8.54734e-322,1.11022e-15,6.10255e+06,363
0.0008,0,1,1.16599e-321,9.99201e-16,6.10255e+06,363
0.00082,0,1,1.15117e-321,8.88178e-16,6.10255e+06,363
0.00084,0,1,1.13141e-321,1.44329e-15,6.10255e+06,363
0.00086,0,1,1.35868e-321,1.11022e-15,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,8.88178e-16,6.10255e+06,363
0.0009,0,1,1.36856e-321,1.22125e-15,6.10255e+06,363
0.00092,0,1,1.99603e-321,9.99201e-16,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.22125e-15,6.10255e+06,363
0.00096,0,1,2.54444e-321,1.22125e-15,6.10255e+06,363
0.00098,0,1,2.49009e-321,1.22125e-15,6.10255e+06,363
0.001,0,1,2.50985e-321,1.33227e-15,6.10255e+06,363
0.00102,0,1,2.55926e-321,1.11022e-15,6.10255e+06,363
0.00104,0,1,2.53456e-321,8.88178e-16,6.10255e+06,363
0.00106,0,1,2.56914e-321,1.22125e-15,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,9.99201e-16,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,1.55431e-15,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,1.33227e-15,6.10255e+06,363
0.00114,0,1,3.16696e-321,1.33227e-15,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,8.88178e-16,6.10255e+06,363
0.00118,0,1,3.19166e-321,1.22125e-15,6.10255e+06,363
0.0012,0,1,3.23613e-321,9.99201e-16,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,9.99201e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,9.99201e-16,6.10255e+06,363
0.00126,0,1,3.17684e-321,5.55112e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.14226e-321,7.77156e-16,6.10255e+06,363
0.0013,0,1,4.87643e-321,6.66134e-16,6.10255e+06,363
0.00132,0,1,6.05428e-320,9.99201e-16,6.10255e+06,363
0.00134,0,1,1.72469e-318,5.55112e-16,6.10255e+06,363
0.00136,0,1,5.12338e-317,7.77156e-16,6.10255e+06,363
0.00138,0,1,1.51749e-315,7.77156e-16,6.10255e+06,363
0.0014,0,1,4.4736e-314,7.77156e-16,6.10255e+06,363
0.00142,0,1,1.31258e-312,1.11022e-15,6.10255e+06,363
0.00144,0,1,3.83286e-311,7.77156e-16,6.10255e+06,363
0.00146,0,1,1.1139e-309,1.11022e-15,6.10255e+06,363
0.00148,1.4822e-322,1,3.22171e-308,7.77156e-16,6.10255e+06,363
0.0015,1.63042e-322,1,9.2735e-307,1.11022e-16,6.10255e+06,363
0.00152,1.67982e-322,1,2.6565e-305,8.88178e-16,6.10255e+06,363
0.00154,1.13635e-321,1,7.57319e-304,8.88178e-16,6.10255e+06,363
0.00156,2.35126e-320,1,2.14856e-302,6.66134e-16,6.10255e+06,363
0.00158,7.2886e-319,1,6.06609e-301,4.44089e-16,6.10255e+06,363
0.0016,2.35504e-317,1,1.70435e-299,1.11022e-15,6.10255e+06,363
0.00162,7.58519e-316,1,4.76531e-298,6.66134e-16,6.10255e+06,363
0.00164,2.43131e-314,1,1.32587e-296,8.88178e-16,6.10255e+06,363
0.00166,7.75527e-313,1,3.67097e-295,2.22045e-16,6.10255e+06,363
0.00168,2.46169e-311,1,1.01141e-293,6.66134e-16,6.10255e+06,363
0.0017,7.77581e-310,1,2.77292e-292,3.33067e-16,6.10255e+06,363
0.00172,2.44415e-308,1,7.56485e-291,5.55112e-16,6.10255e+06,363
0.00174,7.64497e-307,1,2.05359e-289,8.88178e-16,6.10255e+06,363
0.00176,2.3795e-305,1,5.54716e-288,0,6.10255e+06,363
0.00178,7.36972e-304,1,1.49096e-286,0,6.10255e+06,363
0.0018,2.27127e-302,1,3.98745e-285,9.99201e-16,6.10255e+06,363
0.00182,6.96522e-301,1,1.06109e-283,6.66134e-16,6.10255e+06,363
0.00184,2.12541e-299,1,2.8095e-282,1.11022e-16,6.10255e+06,363
0.00186,6.45342e-298,1,7.40154e-281,0,6.10255e+06,363
