x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,1.11022e-16,6.10255e+06,363
2e-05,0,1,0,1.11022e-16,6.10255e+06,363
4e-05,1.63042e-322,1,1.4822e-322,1.11022e-16,6.10255e+06,363
6e-05,1.58101e-322,1,1.33398e-322,1.11022e-16,6.10255e+06,363
8e-05,3.45846e-323,1,0,0,6.10255e+06,363
0.0001,0,1,1.72923e-322,2.22045e-16,6.10255e+06,363
0.00012,0,1,0,1.11022e-16,6.10255e+06,363
0.00014,0,1,0,2.22045e-16,6.10255e+06,363
0.00016,0,1,1.58101e-322,2.22045e-16,6.10255e+06,363
0.00018,0,1,0,1.11022e-16,6.10255e+06,363
0.0002,1.97626e-323,1,0,3.33067e-16,6.10255e+06,363
0.00022,2.47033e-323,1,0,1.11022e-16,6.10255e+06,363
0.00024,0,1,1.5316e-322,2.22045e-16,6.10255e+06,363
0.00026,1.38338e-322,1,0,3.33067e-16,6.10255e+06,363
0.00028,3.95253e-323,1,1.33398e-322,3.33067e-16,6.10255e+06,363
0.0003,1.28457e-322,1,0,8.88178e-16,6.10255e+06,363
0.00032,1.43279e-322,1,0,9.99201e-16,6.10255e+06,363
0.00034,2.47033e-323,1,0,4.44089e-16,6.10255e+06,363
0.00036,1.33398e-322,1,0,2.22045e-16,6.10255e+06,363
0.00038,1.97626e-323,1,0,0,6.10255e+06,363
0.0004,1.67982e-322,1,0,0,6.10255e+06,363
0.00042,0,1,1.23516e-322,0,6.10255e+06,363
0.00044,0,1,0,1.11022e-16,6.10255e+06,363
0.00046,0,1,1.43279e-322,0,6.10255e+06,363
0.00048,0,1,1.58101e-322,1.11022e-16,6.10255e+06,363
0.0005,0,1,0,4.44089e-16,6.10255e+06,363
0.00052,1.38338e-322,1,0,3.33067e-16,6.10255e+06,363
0.00054,0,1,0,3.33067e-16,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,2.22045e-16,6.10255e+06,363
0.00058,0,1,0,6.66134e-16,6.10255e+06,363
0.0006,0,1,1.33398e-322,8.88178e-16,6.10255e+06,363
0.00062,0,1,3.70549e-322,1.11022e-15,6.10255e+06,363
0.00064,0,1,6.42285e-322,8.88178e-16,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.11022e-15,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.33227e-15,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,1.44329e-15,6.10255e+06,363
0.00072,0,1,6.66989e-322,1.22125e-15,6.10255e+06,363
0.00074,0,1,4.5454e-322,1.33227e-15,6.10255e+06,363
0.00076,0,1,6.52167e-322,1.88738e-15,6.10255e+06,363
0.00078,0,1,8.54734e-322,2.10942e-15,6.10255e+06,363
0.0008,0,1,1.16599e-321,2.22045e-15,6.10255e+06,363
0.00082,0,1,1.15117e-321,1.88738e-15,6.10255e+06,363
0.00084,0,1,1.13141e-321,1.77636e-15,6.10255e+06,363
0.00086,0,1,1.35868e-321,1.77636e-15,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,2.10942e-15,6.10255e+06,363
0.0009,0,1,1.36856e-321,1.66533e-15,6.10255e+06,363
0.00092,0,1,1.99603e-321,1.22125e-15,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.11022e-15,6.10255e+06,363
0.00096,0,1,2.54444e-321,4.44089e-16,6.10255e+06,363
0.00098,0,1,2.49009e-321,6.66134e-16,6.10255e+06,363
0.001,0,1,2.50985e-321,9.99201e-16,6.10255e+06,363
0.00102,0,1,2.55926e-321,1.22125e-15,6.10255e+06,363
0.00104,0,1,2.53456e-321,9.99201e-16,6.10255e+06,363
0.00106,0,1,2.56914e-321,1.22125e-15,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,1.11022e-15,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,1.11022e-15,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,1.22125e-15,6.10255e+06,363
0.00114,0,1,3.16696e-321,1.22125e-15,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,1.11022e-15,6.10255e+06,363
0.00118,0,1,3.19166e-321,1.33227e-15,6.10255e+06,363
0.0012,0,1,3.23613e-321,1.11022e-15,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,8.88178e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,1.11022e-15,6.10255e+06,363
0.00126,0,1,3.17684e-321,9.99201e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.13732e-321,1.22125e-15,6.10255e+06,363
0.0013,0,1,3.24107e-321,1.44329e-15,6.10255e+06,363
0.00132,0,1,3.11261e-321,8.88178e-16,6.10255e+06,363
0.00134,0,1,3.21143e-321,8.88178e-16,6.10255e+06,363
0.00136,0,1,3.11755e-321,9.99201e-16,6.10255e+06,363
0.00138,0,1,3.23119e-321,7.77156e-16,6.10255e+06,363
0.0014,0,1,3.32506e-321,7.77156e-16,6.10255e+06,363
0.00142,0,1,3.10767e-321,4.44089e-16,6.10255e+06,363
0.00144,0,1,3.1966e-321,4.44089e-16,6.10255e+06,363
0.00146,0,1,3.17684e-321,3.33067e-16,6.10255e+06,363
0.00148,1.4822e-322,1,3.21637e-321,2.22045e-16,6.10255e+06,363
0.0015,1.63042e-322,1,3.19166e-321,2.22045e-16,6.10255e+06,363
0.00152,1.4822e-322,1,3.21143e-321,0,6.10255e+06,363
0.00154,0,1,3.34977e-321,1.11022e-16,6.10255e+06,363
0.00156,0,1,3.22625e-321,0,6.10255e+06,363
0.00158,0,1,3.25095e-321,2.22045e-16,6.10255e+06,363
0.0016,1.17094e-321,1,4.04146e-321,5.55112e-16,6.10255e+06,363
0.00162,1.37004e-320,1,3.94264e-321,4.44089e-16,6.10255e+06,363
0.00164,4.36566e-319,1,6.15606e-321,5.55112e-16,6.10255e+06,363
0.00166,1.52577e-317,1,7.65851e-320,1.11022e-16,6.10255e+06,363
0.00168,5.32904e-316,1,2.6075e-318,2.22045e-16,6.10255e+06,363
0.0017,1.85171e-314,1,9.29676e-317,2.22045e-16,6.10255e+06,363
0.00172,6.40031e-313,1,3.30195e-315,0,6.10255e+06,363
0.00174,2.20052e-311,1,1.16659e-313,4.44089e-16,6.10255e+06,363
0.00176,7.52555e-310,1,4.09966e-312,7.77156e-16,6.10255e+06,363
0.00178,2.55997e-308,1,1.43303e-310,1.22125e-15,6.10255e+06,363
0.0018,8.66183e-307,1,4.98235e-309,9.99201e-16,6.10255e+06,363
0.00182,2.91511e-305,1,1.72297e-307,6.66134e-16,6.10255e+06,363
0.00184,9.75812e-304,1,5.92625e-306,8.88178e-16,6.10255e+06,363
0.00186,3.24889e-302,1,2.02738e-304,9.99201e-16,6.10255e+06,363
0.00188,1.07586e-300,1,6.89817e-303,8.88178e-16,6.10255e+06,363
0.0019,3.54344e-299,1,2.33439e-301,3.33067e-16,6.10255e+06,363
0.00192,1.16073e-297,1,7.85679e-300,5.55112e-16,6.10255e+06,363
