x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,0,6.10255e+06,363
2e-05,0,1,0,2.22045e-16,6.10255e+06,363
4e-05,1.63042e-322,1,1.4822e-322,0,6.10255e+06,363
6e-05,1.58101e-322,1,1.33398e-322,2.22045e-16,6.10255e+06,363
8e-05,3.45846e-323,1,0,3.33067e-16,6.10255e+06,363
0.0001,0,1,1.72923e-322,5.55112e-16,6.10255e+06,363
0.00012,0,1,0,3.33067e-16,6.10255e+06,363
0.00014,0,1,0,3.33067e-16,6.10255e+06,363
0.00016,0,1,1.58101e-322,3.33067e-16,6.10255e+06,363
0.00018,0,1,0,2.22045e-16,6.10255e+06,363
0.0002,1.97626e-323,1,0,1.11022e-16,6.10255e+06,363
0.00022,2.47033e-323,1,0,3.33067e-16,6.10255e+06,363
0.00024,0,1,1.5316e-322,3.33067e-16,6.10255e+06,363
0.00026,1.38338e-322,1,0,3.33067e-16,6.10255e+06,363
0.00028,3.95253e-323,1,1.33398e-322,7.77156e-16,6.10255e+06,363
0.0003,1.28457e-322,1,0,9.99201e-16,6.10255e+06,363
0.00032,1.43279e-322,1,0,5.55112e-16,6.10255e+06,363
0.00034,2.47033e-323,1,0,0,6.10255e+06,363
0.00036,1.33398e-322,1,0,3.33067e-16,6.10255e+06,363
0.00038,1.97626e-323,1,0,4.44089e-16,6.10255e+06,363
0.0004,1.67982e-322,1,0,1.11022e-16,6.10255e+06,363
0.00042,0,1,1.23516e-322,3.33067e-16,6.10255e+06,363
0.00044,0,1,0,0,6.10255e+06,363
0.00046,0,1,1.43279e-322,3.33067e-16,6.10255e+06,363
0.00048,0,1,1.58101e-322,1.11022e-16,6.10255e+06,363
0.0005,0,1,0,0,6.10255e+06,363
0.00052,1.38338e-322,1,0,2.22045e-16,6.10255e+06,363
0.00054,0,1,0,0,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,1.11022e-16,6.10255e+06,363
0.00058,0,1,0,0,6.10255e+06,363
0.0006,0,1,1.33398e-322,4.44089e-16,6.10255e+06,363
0.00062,0,1,3.70549e-322,3.33067e-16,6.10255e+06,363
0.00064,0,1,6.42285e-322,6.66134e-16,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.22125e-15,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.11022e-15,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,1.22125e-15,6.10255e+06,363
0.00072,0,1,6.66989e-322,1.33227e-15,6.10255e+06,363
0.00074,0,1,4.5454e-322,1.33227e-15,6.10255e+06,363
0.00076,0,1,6.52167e-322,9.99201e-16,6.10255e+06,363
0.00078,0,1,8.54734e-322,1.22125e-15,6.10255e+06,363
0.0008,0,1,1.16599e-321,1.44329e-15,6.10255e+06,363
0.00082,0,1,1.15117e-321,1.22125e-15,6.10255e+06,363
0.00084,0,1,1.13141e-321,1.11022e-15,6.10255e+06,363
0.00086,0,1,1.35868e-321,4.44089e-16,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,7.77156e-16,6.10255e+06,363
0.0009,0,1,1.36856e-321,7.77156e-16,6.10255e+06,363
0.00092,0,1,1.99603e-321,1.11022e-15,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.11022e-15,6.10255e+06,363
0.00096,0,1,2.54444e-321,1.22125e-15,6.10255e+06,363
0.00098,0,1,2.49009e-321,1.22125e-15,6.10255e+06,363
0.001,0,1,2.50985e-321,9.99201e-16,6.10255e+06,363
0.00102,0,1,2.55926e-321,8.88178e-16,6.10255e+06,363
0.00104,0,1,2.53456e-321,9.99201e-16,6.10255e+06,363
0.00106,0,1,2.56914e-321,6.66134e-16,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,1.11022e-15,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,9.99201e-16,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,1.11022e-15,6.10255e+06,363
0.00114,0,1,3.16696e-321,6.66134e-16,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,1.22125e-15,6.10255e+06,363
0.00118,0,1,3.19166e-321,1.22125e-15,6.10255e+06,363
0.0012,0,1,3.23613e-321,8.88178e-16,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,9.99201e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,8.88178e-16,6.10255e+06,363
0.00126,0,1,3.17684e-321,7.77156e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.13732e-321,1.11022e-15,6.10255e+06,363
0.0013,0,1,3.24107e-321,9.99201e-16,6.10255e+06,363
0.00132,0,1,3.11261e-321,1.11022e-15,6.10255e+06,363
0.00134,0,1,3.21143e-321,8.88178e-16,6.10255e+06,363
0.00136,0,1,3.11755e-321,9.99201e-16,6.10255e+06,363
0.00138,0,1,3.23119e-321,1.22125e-15,6.10255e+06,363
0.0014,0,1,3.32506e-321,1.33227e-15,6.10255e+06,363
0.00142,0,1,3.10767e-321,8.88178e-16,6.10255e+06,363
0.00144,0,1,3.1966e-321,9.99201e-16,6.10255e+06,363
0.00146,0,1,3.17684e-321,9.99201e-16,6.10255e+06,363
0.00148,1.4822e-322,1,3.21637e-321,7.77156e-16,6.10255e+06,363
0.0015,1.63042e-322,1,3.19166e-321,2.22045e-16,6.10255e+06,363
0.00152,1.4822e-322,1,3.21143e-321,1.11022e-16,6.10255e+06,363
0.00154,0,1,3.34977e-321,0,6.10255e+06,363
0.00156,0,1,3.22625e-321,1.11022e-16,6.10255e+06,363
0.00158,0,1,3.25095e-321,0,6.10255e+06,363
0.0016,1.17094e-321,1,4.04146e-321,1.11022e-16,6.10255e+06,363
0.00162,1.37103e-320,1,3.94264e-321,1.11022e-16,6.10255e+06,363
0.00164,4.37233e-319,1,6.14618e-321,1.11022e-16,6.10255e+06,363
0.00166,1.52884e-317,1,7.81908e-320,0,6.10255e+06,363
0.00168,5.34004e-316,1,2.67332e-318,2.22045e-16,6.10255e+06,363
0.0017,1.8556e-314,1,9.53131e-317,4.44089e-16,6.10255e+06,363
0.00172,6.414e-313,1,3.38477e-315,1.11022e-16,6.10255e+06,363
0.00174,2.2053e-311,1,1.19567e-313,5.55112e-16,6.10255e+06,363
0.00176,7.54213e-310,1,4.20126e-312,8.88178e-16,6.10255e+06,363
0.00178,2.56569e-308,1,1.46833e-310,6.66134e-16,6.10255e+06,363
0.0018,8.6814e-307,1,5.1043e-309,8.88178e-16,6.10255e+06,363
0.00182,2.92177e-305,1,1.76487e-307,9.99201e-16,6.10255e+06,363
0.00184,9.78063e-304,1,6.06945e-306,4.44089e-16,6.10255e+06,363
0.00186,3.25645e-302,1,2.07604e-304,8.88178e-16,6.10255e+06,363
0.00188,1.07839e-300,1,7.06266e-303,5.55112e-16,6.10255e+06,363
0.0019,3.55181e-299,1,2.38968e-301,8.88178e-16,6.10255e+06,363
0.00192,1.16349e-297,1,8.04159e-300,7.77156e-16,6.10255e+06,363
0.00194,3.7906e-296,1,2.69135e-298,8.88178e-16,6.10255e+06,363
0.00196,1.22823e-294,1,8.95815e-297,7.77156e-16,6.10255e+06,363
0.00198,3.95794e-293,1,2.96537e-295,7.77156e-16,6.10255e+06,363
0.002,1.26845e-291,1,9.76215e-294,8.88178e-16,6.10255e+06,363
0.00202,4.04279e-290,1,3.19604e-292,8.88178e-16,6.10255e+06,363
0.00204,1.28141e-288,1,1.04057e-290,7.77156e-16,6.10255e+06,363
0.00206,7.19932e-288,1,5.9251e-290,6.66134e-16,6.10255e+06,363
0.00208,1.26613e-285,1,1.08478e-287,2.22045e-16,6.10255e+06,363
0.0021,3.94681e-284,1,3.47327e-286,5.55112e-16,6.10255e+06,363
0.00212,1.22345e-282,1,1.10587e-284,0,6.10255e+06,363
0.00214,3.7713e-281,1,3.50127e-283,2.22045e-16,6.10255e+06,363
0.00216,1.156e-279,1,1.1023e-281,7.77156e-16,6.10255e+06,363
0.00218,3.52349e-278,1,3.4508e-280,9.99201e-16,6.10255e+06,363
0.0022,1.06791e-276,1,1.07419e-278,8.88178e-16,6.10255e+06,363
0.00222,3.21838e-275,1,3.32483e-277,7.77156e-16,6.10255e+06,363
0.00224,9.64426e-274,1,1.02325e-275,6.66134e-16,6.10255e+06,363
0.00226,2.8736e-272,1,3.13124e-274,7.77156e-16,6.10255e+06,363
0.00228,8.51334e-271,1,9.52704e-273,7.77156e-16,6.10255e+06,363
0.0023,2.50775e-269,1,2.88206e-271,8.88178e-16,6.10255e+06,363
0.00232,7.34466e-268,1,8.66851e-270,8.88178e-16,6.10255e+06,363
0.00234,2.13873e-266,1,2.59224e-268,3.33067e-16,6.10255e+06,363
